Name,Brands,Price,Slashed_price,Discount_Price_Amount,Review,Reviews,Review_count,Discount,Discount_Percentage
Noise Quad Call 1.81,Noise,"1,499","₹6,999₹6,999","6,999",4.0 out of 5 stars,4,"120,377","₹1,499₹1,499 M.R.P: ₹6,999₹6,999 (79% off)",(79% off)
Fire-Boltt Phoenix Smart Watch with Blueto,Fire-Boltt,"1,199","₹9,999₹9,999","9,999",4.1 out of 5 stars,4.1,"79,058","₹1,199₹1,199 M.R.P: ₹9,999₹9,999 (88% off)",(88% off)
Noise Force Rugged & Sporty 1.32,Noise,"1,499","₹5,999₹5,999","5,999",4.0 out of 5 stars,4,"8,742","₹1,499₹1,499 M.R.P: ₹5,999₹5,999 (75% off)",(75% off)
Noise Pulse 2 Max 1.85,Noise,"1,199","₹5,999₹5,999","5,999",4.1 out of 5 stars,4.1,"40,905","₹1,199₹1,199 M.R.P: ₹5,999₹5,999 (80% off)",(80% off)
Noise Pulse 4 Max India's 1st Ever AI Crea,Noise,"2,199","₹6,999₹6,999","6,999",4.1 out of 5 stars,4.1,"40,905","₹2,199₹2,199 M.R.P: ₹6,999₹6,999 (69% off)",(69% off)
Fossil Gen 6 Digital Black Dial Men's Watc,Fossil,"9,095","₹23,995₹23,995","23,995",3.6 out of 5 stars,3.6,"1,227","₹9,095₹9,095 M.R.P: ₹23,995₹23,995 (62% off)",(62% off)
Withings ScanWatch 2,Withings,"27,999","₹34,999₹34,999","34,999",3.8 out of 5 stars,3.8,135,"₹27,999₹27,999 M.R.P: ₹34,999₹34,999 (20% off)",(20% off)
Noise ColorFit Ultra 3 Bluetooth Calling S,Noise,"2,799","₹8,999₹8,999","8,999",4.2 out of 5 stars,4.2,"16,259","₹2,799₹2,799 M.R.P: ₹8,999₹8,999 (69% off)",(69% off)
OnePlus Watch 2R with Wear OS 4 by Google,OnePlus,"14,999","₹19,999₹19,999","19,999",4.3 out of 5 stars,4.3,93,"₹14,999₹14,999 M.R.P: ₹19,999₹19,999 (25% off)",(25% off)
INVICTO T800 Ultra Series Big 1.9inch Disp,INVICTO,499,₹799₹799,799,2.7 out of 5 stars,2.7,79,₹499₹499 M.R.P: ₹799₹799 (38% off),(38% off)
Noise Diva Smartwatch with Diamond Cut dia,Noise,"2,999","₹5,999₹5,999","5,999",4.3 out of 5 stars,4.3,"3,931","₹2,999₹2,999 M.R.P: ₹5,999₹5,999 (50% off)",(50% off)
ZEXGA M1 Smart Watch for Kids Men Boys Gir,ZEXGA,399,"₹1,499₹1,499","1,499",4.2 out of 5 stars,4.2,53,"₹399₹399 M.R.P: ₹1,499₹1,499 (73% off)",(73% off)
boAt Lunar Embrace w,boAt,"3,499","₹13,999₹13,999","13,999",4.2 out of 5 stars,4.2,154,"₹3,499₹3,499 M.R.P: ₹13,999₹13,999 (75% off)",(75% off)
Fire-Boltt Phoenix Pro 35.3mm,Fire-Boltt,"1,199","₹11,999₹11,999","11,999",4.1 out of 5 stars,4.1,"79,058","₹1,199₹1,199 M.R.P: ₹11,999₹11,999 (90% off)",(90% off)
